Code,ID,Product
TCC,NoneF,Capesize Timecharter (Baltic) Freight Future
WDA,TD19,Daily - TD19 FFA Cross Med (Ceyhan to Lavera) (Baltic) Mini Future
WDB,TD9,Daily - TD9 FFA Caribbean to US Gulf (Baltic) Mini Future
DFX,TC12,Daily TC12 FFA WCI to Japan (Baltic) Mini Future
DFY,TC14,Daily TC14 FFA USGC to Continent (Baltic) Mini Future
DFS,TC2,Daily TC2 FFA Northwest Europe to USAC (Baltic) Mini Future
DFT,TC5,Daily TC5 FFA Arabian Gulf to Japan (Platts) Mini Future
DFU,TC6,Daily TC6 FFA Skikda to Lavera (Cross Med) (Baltic) Mini Future
DFQ,TD20,Daily TD20 FFA West Africa to UK Continent (Baltic) Mini Future
DFN,TD3C,Daily TD3C FFA Middle East Gulf to China (Baltic) Mini Future
DFO,TD7,Daily TD7 FFA UK North Sea to Continent (Baltic) Mini Future
DFP,TD8,Daily TD8 FFA Kuwait to Singapore (Baltic) Mini Future
WDD,USGC,Dirty FFA - USGC China (Platts) Future
DUS,USGC,Dirty FFA - USGC to China (Platts) Balmo Future
DFD,USGC,Dirty FFA - USGC to China (Platts) Mini Future
DUR,USGC,Dirty FFA - USGC to UK Continent (Platts) Balmo Future
DFC,USGC,Dirty FFA - USGC to UK Continent (Platts) Mini Future
WDE,USGC,Dirty FFA - USGC UK Continent (Platts) Future
TCH,NoneF,Handysize Timecharter (Baltic) Freight Future
WAT,LPG,"LPG (BLGP) FFA Middle East Gulf to East 44,000Mts (Baltic) Future"
WAV,LPG,"LPG (BLPG) FFA Middle East Gulf to East 44,000Mts (Baltic) Balmo Future"
TCP,NoneF,Panamax Timecharter (Baltic) Freight Future
TCS,NoneF,Supramax Timecharter (Baltic) Freight Future
TCK,TC12,TC12 FFA WCI to Japan (Baltic) Balmo Future
TCN,TC12,TC12 FFA WCI to Japan (Baltic) Future
WCN,TC14,TC14 FFA USGC to Continent (Baltic) Average Price Options
WNW,TC14,TC14 FFA USGC to Continent (Baltic) Balmo Future
WCN,TC14,TC14 FFA USGC to Continent (Baltic) Future
TCL,TC15,TC15 FFA Med to Far East (Baltic) Balmo Future
TCM,TC15,TC15 FFA Med to Far East (Baltic) Future
TCD,TC2,TC2 37 FFA Triangulation with TC14 FFA CPP/UNL Continent to USAC (Baltic) Future
WNU,TC2,TC2 FFA Northwest Europe To Usac (Baltic) Average Price Options
WNT,TC2,TC2 FFA Northwest Europe to USAC (Baltic) Balmo Future
WNU,TC2,TC2 FFA Northwest Europe to USAC (Baltic) Future
WNX,TC5,TC5 FFA Arabian Gulf to Japan (Platts) Balmo Future
WMJ,TC5,TC5 FFA Arabian Gulf To Japan (Platts) Average Price Options
WMJ,TC5,TC5 FFA Arabian Gulf to Japan (Platts) Future
WNZ,TC6,TC6 FFA Skikda to Lavera (Cross Med) (Baltic) Balmo Future
WSL,TC6,TC6 FFA Skikda to Lavera (Cross Med) (Baltic) Average Price Options
WSL,TC6,TC6 FFA Skikda to Lavera (Cross Med) (Baltic) Futures
TC8,TC7,TC7 FFA Singapore to EC Australia (Baltic) Balmo Future
TC7,TC7,TC7 FFA Singapore to EC Australia (Baltic) Future
TC9,TC9,TC9 FFA Baltic to UK Continent (Baltic) Future
TCJ,TC9,TC9 FFA Baltic to UK Continent (Baltic) Balmo Future
BAU,TD17,TD17 FFA Baltic to UK Continent (Baltic) Future
WCL,TD19,TD19 Cross Med (Ceyhan to Lavera) (Baltic) Future
TDA,TD20,TD20 FFA West Africa to UK Continent (Baltic) Balmo Future
WAC,TD20,TD20 West Africa To UK Continent (Baltic) Future
WF2,TD22,TD22 FFA - US Gulf to China (Baltic) Future
WF5,TD25,TD25 FFA - US Gulf to Med (Baltic) Future
TDL,TD3C,TD3C FFA Middle East Gulf to China (Baltic) Average Price Options
TDM,TD3C,TD3C FFA Middle East Gulf to China (Baltic) Balmo Future
TDL,TD3C,TD3C FFA Middle East Gulf to China (Baltic) Future
WNC,TD7,TD7 FFA UK North Sea To Continent (Baltic) Average Price Options
WNC,TD7,TD7 FFA UK North Sea to Continent (Baltic) Future
TDR,TD8,TD8 FFA Kuwait to Singapore (Baltic) Balmo Future
TDK,TD8,TD8 FFA Kuwait to Singapore (Baltic) Future
WDC,TD9,TD9 FFA - Caribbean to US Gulf (Baltic) Future
